Все слова - 101312: 
модель : 17 : модели
на : 12 : на
семантический : 18 : семантическую
сеть : 17 : сеть
результат : 17 : результат
представленный : 22 : представленный
на : 12 : на
рисунок : 17 : рисунке
5 : 28 : 5
между : 12 : между
объект : 17 : объектами
предметный : 18 : предметной
область : 17 : области
сплошной : 18 : сплошной
линия : 17 : линией
соответствую : 20 : соответствуют
заданный : 18 : заданным
в : 12 : в
модель : 17 : модели
пунктирный : 18 : пунктирные
линия : 17 : линии
соответствую : 20 : соответствует
новое : 17 : новым
связь : 17 : связям
выявленный : 22 : выявленным
в : 12 : в
семантический : 18 : семантической
сеть : 17 : сети
яркость : 17 : яркость
связь : 17 : связей
по-прежнему : 9 : по-прежнему
отражаю : 20 : отражает
сила : 17 : силу
ассоциация : 17 : ассоциаций
между : 12 : между
объект : 17 : объектами
в : 12 : в
текст : 17 : тексте
пример : 17 : пример
позволяю : 20 : позволяет
в : 12 : в
частность : 17 : частности
выявить : 21 : выявить
ранее : 9 : ранее
не : 14 : не
известный : 18 : известные
но : 13 : но
присутствующий : 22 : присутствующие
в : 12 : в
документ : 17 : документах
цепочка : 17 : цепочки
связь : 17 : связей
между : 12 : между
лукашенко : 17 : лукашенко
как : 13 : как
президент : 17 : президентом
белоруссия : 17 : белоруссии
и : 13 : и
депутат : 17 : депутатами
госдума : 17 : госдумы
в : 12 : в
лицо : 17 : лице
и : 13 : и
жириновский : 17 : жириновского
5 : 28 : 5
связь : 17 : связи
между : 12 : между
объект : 17 : объектами
предметный : 18 : предметной
область : 17 : области
найденный : 22 : найденные
в : 12 : в
документ : 17 : документах
перспектива : 17 : перспективы
развитие : 17 : развития
технология : 17 : технологии
семантический : 18 : семантических
сеть : 17 : сетей
открываю : 20 : открывает
применение : 17 : применение
полный : 18 : полного
синтаксический : 18 : синтаксического
анализатор : 17 : анализатора
русский : 18 : русского
язык : 17 : языка
разработка : 17 : разработка
который : 31 : которого
мы : 30 : нами
сейчас : 9 : сейчас
смотрю : 20 : см
известно : 13 : известно
смысловой : 18 : смысловая
связь : 17 : связь
между : 12 : между
понятие : 17 : понятиями
предложение : 17 : предложения
в : 12 : в
общий : 18 : общем
случай : 17 : случае
описываюсь : 20 : описывается
аргумент : 17 : аргументами
который : 31 : которого
выступаю : 20 : выступают
данные : 17 : данные
понятие : 17 : понятия
установление : 17 : установление
такой : 18 : таких
связь : 17 : связей
позволяю : 20 : позволяет
сформировать : 21 : сформировать
логический : 18 : логическую
схема : 17 : схему
ситуация : 17 : ситуации
описываемый : 22 : описываемой
в : 12 : во
фраза : 17 : фразе
результат : 17 : результате
анализ : 17 : анализа
предложение : 17 : предложение
текст : 17 : текста
может : 13 : может
быть : 21 : быть
преобразован : 23 : преобразовано
например : 13 : например
в : 12 : в
строка : 17 : строку
таблица : 17 : таблицы
реляционный : 18 : реляционной
баз : 17 : базы
данные : 17 : данных
пру : 20 : при
это : 30 : этом
имя : 17 : имя
таблица : 17 : таблицы
соответствую : 20 : соответствует
а : 13 : а
столбец : 17 : столбцы
соответствую : 20 : соответствуют
семантический : 18 : семантическим
роль : 17 : ролям
участник : 17 : участников
ситуация : 17 : ситуации
описываемый : 22 : описываемой
глагол : 17 : глаголом
так : 13 : так
в : 12 : в
результат : 17 : результате
анализ : 17 : анализа
пар : 17 : пары
предложение : 17 : предложений
в : 12 : в
таблица : 17 : таблице
с : 12 : с
имя : 17 : именем
могу : 20 : могут
появиться : 21 : появиться
следующий : 22 : следующие
запись : 17 : записи
кто : 30 : кто
что : 13 : что
у : 12 : у
кто : 30 : кого
на : 12 : на
сколько : 28 : сколько
за : 12 : за
сколько : 28 : сколько
представление : 17 : представление
позволяю : 20 : позволяет
решать : 21 : решать
задача : 17 : задачи
фактографический : 18 : фактографического
поиск : 17 : поиска
например : 13 : например
весь : 18 : всех
персона : 17 : персон
контактировавший : 22 : контактировавших
с : 12 : с
организация : 17 : организацией
так : 13 : т
есть : 20 : е
найти : 21 : найти
весь : 18 : все
именной : 18 : именные
группа : 17 : группы
связанный : 18 : связанные
с : 12 : с
заданный : 18 : заданной
группа : 17 : группой
глагол : 17 : глаголов
в : 12 : в
заданный : 18 : заданной
синтаксический : 18 : синтаксической
роль : 17 : роли
возникающий : 22 : возникающие
между : 12 : между
строка : 17 : строками
таблица : 17 : таблиц
за : 12 : за
совпадение : 17 : совпадения
значение : 17 : значений
поле : 17 : полей
порождаю : 20 : порождают
семантический : 18 : семантическую
сеть : 17 : сеть
на : 12 : на
множество : 17 : множестве
целевой : 18 : целевой
коллекция : 17 : коллекции
анализируемый : 22 : анализируемых
документ : 17 : документов
связь : 17 : связи
такой : 18 : такой
сеть : 17 : сети
дифференцирован : 23 : дифференцированы
по : 12 : по
тип : 17 : типам
отношение : 17 : отношений
это : 14 : это
позволяю : 20 : позволяет
искать : 21 : искать
ответ : 17 : ответ
на : 12 : на
сложный : 18 : сложные
вопрос : 17 : вопросы
тип : 17 : типа
весь : 18 : всех
арендодатель : 17 : арендодателей
в : 12 : в
москва : 17 : москве
у : 12 : у
который : 31 : которых
арендатор : 17 : арендаторы
торгую : 20 : торгуют
соответствующий : 22 : соответствующий
запрос : 17 : запрос
к : 12 : к
баз : 17 : базе
данные : 17 : данных
на : 12 : на
язык : 17 : языке
есть : 20 : будет
выглядеть : 21 : выглядеть
следующий : 22 : следующим
образ : 17 : образом
агенс : 17 : агенс
арендовать : 21 : арендовать
обстоятельство : 17 : обстоятельство
агенс : 17 : агенс
торговать : 21 : торговать
статья : 17 : статья
есть : 20 : была
опубликован : 23 : опубликована
в : 12 : в
материал : 17 : материалах
научный : 18 : научной
конференция : 17 : конференции
и : 13 : и
информационный : 18 : информационная
безопасность : 17 : безопасность
правоохранительный : 18 : правоохранительных
орган : 17 : органов
международный : 18 : международная
научный : 18 : научная
конференция : 17 : конференция
сборник : 17 : сборник
труд : 17 : трудов
москва : 17 : москва
2002 : 28 : 2002
с : 12 : с
семантический : 18 : семантическая
сеть : 17 : сеть
текст : 17 : текста
в : 12 : в
задача : 17 : задачах
о : 12 : об
анализ : 17 : анализе
текст : 17 : текстов
а : 13 : а
есть : 20 : е
в : 12 : в
в : 12 : в
и : 13 : и
информационный : 18 : информационная
безопасность : 17 : безопасность
правоохранительный : 18 : правоохранительных
орган : 17 : органов
международный : 18 : международная
научный : 18 : научная
конференция : 17 : конференция
сборник : 17 : сборник
труд : 17 : трудов
москва : 17 : москва
2002 : 28 : 2002
с : 12 : с
основа : 17 : основу
разрабатываемый : 22 : разрабатываемых
подход : 17 : подходов
лёг : 20 : легли
оригинальный : 18 : оригинальные
модель : 17 : модели
обработка : 17 : обработки
информация : 17 : информации
человеческий : 18 : человеческим
мозг : 17 : мозгом
который : 31 : которые
реализован : 23 : реализованы
с : 12 : с
применение : 17 : применением
и : 13 : и
лингвистический : 18 : лингвистических
алгоритм : 17 : алгоритмов
часть : 17 : часть
результат : 17 : результатов
исследование : 17 : исследований
уж : 17 : уже
получил : 20 : получила
внедрение : 17 : внедрение
в : 12 : в
система : 17 : системе
поддержка : 17 : поддержки
русскоязычный : 18 : русскоязычного
поиск : 17 : поиска
и : 13 : и
анализ : 17 : анализа
документ : 17 : документов
для : 25 : для
субд : 17 : субд
а : 13 : а
также : 14 : также
в : 12 : в
ряд : 17 : ряде
другой : 18 : других
проект : 17 : проектов
автоматический : 18 : автоматического
анализ : 17 : анализа
текст : 17 : текста
на : 12 : на
естественный : 18 : естественном
язык : 17 : языке
активно : 9 : активно
развиваемый : 22 : развиваемые
мы : 30 : нами
в : 12 : в
компания : 17 : компании
представлен : 23 : представлены
на : 12 : на
сайт : 17 : сайте
в : 12 : в
основа : 17 : основу
разрабатываемый : 22 : разрабатываемых
подход : 17 : подходов
лёг : 20 : легли
оригинальный : 18 : оригинальные
модель : 17 : модели
обработка : 17 : обработки
информация : 17 : информации
человеческий : 18 : человеческим
мозг : 17 : мозгом
который : 31 : которые
реализован : 23 : реализованы
с : 12 : с
применение : 17 : применением
и : 13 : и
лингвистический : 18 : лингвистических
алгоритм : 17 : алгоритмов
часть : 17 : часть
результат : 17 : результатов
исследование : 17 : исследований
уж : 17 : уже
получил : 20 : получила
внедрение : 17 : внедрение
в : 12 : в
система : 17 : системе
поддержка : 17 : поддержки
русскоязычный : 18 : русскоязычного
поиск : 17 : поиска
и : 13 : и
анализ : 17 : анализа
документ : 17 : документов
для : 25 : для
субд : 17 : субд
а : 13 : а
также : 14 : также
в : 12 : в
ряд : 17 : ряде
другой : 18 : других
проект : 17 : проектов
показал : 20 : показал
наш : 18 : наш
опыт : 17 : опыт
в : 12 : в
настоящий : 18 : настоящий
момент : 17 : момент
наибольший : 18 : наибольший
интерес : 17 : интерес
для : 25 : для
заказчик : 17 : заказчика
представляю : 20 : представляет
технология : 17 : технология
анализ : 17 : анализа
и : 13 : и
визуализация : 17 : визуализации
содержание : 17 : содержания
текст : 17 : текста
на : 12 : на
основа : 17 : основе
семантический : 18 : семантических
сеть : 17 : сетей
который : 31 : которая
предназначен : 23 : предназначена
прежде : 12 : прежде
весь : 18 : всего
для : 25 : для
решение : 17 : решения
экспертный : 18 : экспертных
задача : 17 : задач
связанный : 18 : связанных
с : 12 : с
поиск : 17 : поиском
скрытый : 18 : скрытой
информация : 17 : информации
в : 12 : в
больший : 18 : больших
массив : 17 : массивах
документ : 17 : документов
иллюстрация : 17 : иллюстрации
основной : 18 : основных
возможность : 17 : возможностей
данна : 17 : данной
технология : 17 : технологии
настоящий : 18 : настоящий
доклад : 17 : доклад
основа : 17 : основе
процедура : 17 : процедур
используемый : 22 : используемых
мы : 30 : нами
для : 25 : для
анализ : 17 : анализа
документ : 17 : документов
лежу : 20 : лежит
представление : 17 : представление
смысл : 17 : смысла
текст : 17 : текста
в : 12 : в
форма : 17 : форме
ассоциативный : 18 : ассоциативной
семантический : 18 : семантической
сеть : 17 : сети
сеть : 17 : сеть
это : 14 : это
множество : 17 : множество
понятие : 17 : понятий
слово : 17 : слов
и : 13 : и
словосочетание : 17 : словосочетаний
связанный : 18 : связанных
между : 12 : между
себя : 31 : собой
в : 12 : в
семантический : 18 : семантическую
сеть : 17 : сеть
включаюсь : 20 : включаются
наиболее : 9 : наиболее
часто : 9 : часто
встречающийся : 22 : встречающиеся
слово : 17 : слова
текст : 17 : текста
который : 31 : которые
несу : 20 : несут
основной : 18 : основную
смысловой : 18 : смысловую
нагрузка : 17 : нагрузку
для : 25 : для
каждый : 18 : каждого
понятие : 17 : понятия
формируюсь : 20 : формируется
набор : 17 : набор
ассоциативный : 18 : ассоциативных
смысловой : 18 : смысловых
связь : 17 : связей
так : 13 : т
есть : 20 : е
список : 17 : список
другой : 18 : других
понятие : 17 : понятий
в : 12 : в
сочетание : 17 : сочетании
с : 12 : с
который : 31 : которыми
оно : 31 : оно
встречаюсь : 20 : встречалось
в : 12 : в
предложение : 17 : предложениях
текст : 17 : текста
пру : 20 : при
это : 30 : этом
считаюсь : 20 : считается
что : 13 : что
чем : 13 : чем
чаще : 10 : чаще
встречаюсь : 20 : встречаются
вместе : 9 : вместе
два : 28 : два
понятие : 17 : понятия
в : 12 : в
предложение : 17 : предложениях
текст : 17 : текста
тем : 13 : тем
выше : 10 : выше
вероятность : 17 : вероятность
того : 17 : того
что : 13 : что
они : 31 : они
связан : 23 : связаны
по : 12 : по
смысл : 17 : смыслу
лингвистический : 18 : лингвистические
алгоритм : 17 : алгоритмы
использовал : 20 : используют
морфологический : 18 : морфологический
и : 13 : и
синтаксический : 18 : синтаксический
анализ : 17 : анализ
а : 13 : а
также : 14 : также
тезаурус : 17 : тезаурус
русский : 18 : русского
язык : 17 : языка
для : 25 : для
отождествление : 17 : отождествления
близкие : 17 : близких
по : 12 : по
смысл : 17 : смыслу
слово : 17 : слов
и : 13 : и
словосочетание : 17 : словосочетаний
например : 13 : например
такой : 18 : такие
выражение : 17 : выражения
как : 13 : как
несколько : 28 : нескольких
библиотечный : 18 : библиотечных
и : 13 : и
два : 28 : двух
библиотечный : 18 : библиотечных
привожусь : 20 : приводятся
к : 12 : к
один : 18 : одному
понятие : 17 : понятию
библиотечный : 18 : библиотечной
кроме : 12 : кроме
того : 17 : того
из : 12 : из
число : 17 : числа
понятие : 17 : понятий
исключаюсь : 20 : исключаются
общеупотребимый : 18 : общеупотребимые
слово : 17 : слова
который : 31 : которые
не : 14 : не
несу : 20 : несут
самостоятельный : 18 : самостоятельной
смысловой : 18 : смысловой
нагрузка : 17 : нагрузки
или : 13 : или
имею : 20 : имеют
широкий : 18 : широкое
значение : 17 : значение
так : 13 : так
слово : 17 : слова
и : 13 : и
сам : 18 : сами
по : 12 : по
себе : 14 : себе
не : 14 : не
являюсь : 20 : являются
понятие : 17 : понятиями
характеризующий : 22 : характеризующими
содержание : 17 : содержание
документ : 17 : документа
но : 13 : но
могу : 20 : могут
образовать : 21 : образовать
понятие : 17 : понятие
выраженный : 18 : выраженное
сочетание : 17 : сочетанием
развитие : 17 : развития
сельский : 18 : сельского
понятие : 17 : понятие
предлагаюсь : 20 : предлагается
рассматривать : 21 : рассматривать
в : 12 : в
качество : 17 : качестве
имя : 17 : имени
соответствующий : 22 : соответствующей
тема : 17 : темы
документ : 17 : документа
статистический : 18 : статистические
данные : 17 : данные
о : 12 : о
связь : 17 : связях
понятие : 17 : понятий
в : 12 : в
текст : 17 : тексте
и : 13 : и
синтаксический : 18 : синтаксических
роль : 17 : ролях
понятие : 17 : понятий
в : 12 : во
фраза : 17 : фразах
позволяю : 20 : позволяют
оценить : 21 : оценить
их : 31 : их
вклад : 17 : вклад
в : 12 : в
общий : 18 : общее
содержание : 17 : содержание
документ : 17 : документа
и : 13 : и
такой : 18 : таким
образ : 17 : образом
ранжировать : 21 : ранжировать
тема : 17 : темы
по : 12 : по
информативность : 17 : информативности
в : 12 : в
итог : 17 : итоге
каждый : 18 : каждой
тема : 17 : теме
семантический : 18 : семантической
сеть : 17 : сети
присваиваюсь : 20 : присваивается
так : 13 : так
называемый : 22 : называемый
тематический : 18 : тематический
вес : 17 : вес
значение : 17 : значение
тематический : 18 : тематического
вес : 17 : веса
равный : 18 : равное
100 : 28 : 100
соответствую : 20 : соответствует
ключевой : 18 : ключевой
важнейший : 18 : важнейшей
тема : 17 : теме
документ : 17 : документа
близкий : 18 : близкое
к : 12 : к
нуль : 17 : нулю
значение : 17 : значение
вес : 17 : веса
тема : 17 : темы
показываю : 20 : показывает
что : 13 : что
она : 31 : она
лишь : 13 : лишь
вскользь : 9 : вскользь
упомянут : 23 : упомянута
в : 12 : в
текст : 17 : тексте
и : 13 : и
в : 12 : в
нем : 19 : нем
мал : 19 : мало
сведение : 17 : сведений
относящийся : 22 : относящихся
к : 12 : к
данна : 17 : данной
тема : 17 : теме
между : 12 : между
пар : 17 : парами
тем : 13 : тем
в : 12 : в
свой : 31 : свою
очередь : 17 : очередь
также : 14 : также
имею : 20 : имеют
характеристика : 17 : характеристики
вес : 17 : веса
связь : 17 : связей
от : 12 : от
0 : 28 : 0
до : 12 : до
100 : 28 : 100
большой : 18 : большое
значение : 17 : значение
вес : 17 : веса
связь : 17 : связи
от : 12 : от
один : 18 : одной
тема : 17 : темы
к : 12 : к
другой : 18 : другой
близкий : 18 : близкое
к : 12 : к
100 : 28 : 100
указываю : 20 : указывает
на : 12 : на
то : 13 : то
что : 13 : что
подавляющий : 22 : подавляющая
часть : 17 : часть
информация : 17 : информации
в : 12 : в
текст : 17 : тексте
касающийся : 22 : касающаяся
первый : 18 : первой
касаюсь : 20 : касается
в : 12 : в
тоже : 14 : тоже
время : 17 : время
и : 13 : и
втора : 17 : второй
тема : 17 : темы
первый : 18 : первая
тема : 17 : тема
почёл : 20 : почти
всегда : 9 : всегда
излагаюсь : 20 : излагается
в : 12 : в
контекст : 17 : контексте
втора : 17 : второй
малое : 17 : малое
значение : 17 : значение
вес : 17 : веса
отражаю : 20 : отражает
тот : 31 : тот
факт : 17 : факт
что : 13 : что
первый : 18 : первая
тема : 17 : тема
слабо : 9 : слабо
связан : 23 : связана
с : 12 : со
втора : 17 : второй
излагаюсь : 20 : излагается
независимо : 9 : независимо
от : 12 : от
нея : 17 : нее
связь : 17 : связь
между : 12 : между
пара : 17 : парой
тем : 13 : тем
сеть : 17 : сети
всегда : 9 : всегда
двусторонний : 18 : двусторонняя
однако : 15 : однако
связь : 17 : связь
от : 12 : от
первый : 18 : первой
тема : 17 : темы
к : 12 : ко
втора : 17 : второй
не : 14 : не
всегда : 9 : всегда
имею : 20 : имеет
тот : 31 : тот
же : 13 : же
самый : 18 : самый
вес : 17 : вес
что : 13 : что
и : 13 : и
обратный : 18 : обратная
от : 12 : от
втора : 17 : второй
к : 12 : к
первый : 18 : первой
такой : 18 : такое
различие : 17 : различие
в : 12 : в
вес : 17 : весах
может : 13 : может
указывать : 21 : указывать
на : 12 : на
то : 13 : то
что : 13 : что
один : 18 : одна
тема : 17 : тема
являюсь : 20 : является
другой : 18 : другой
сеть : 17 : сеть
представляю : 20 : представляет
себя : 31 : собой
тематический : 18 : тематический
индекс : 17 : индекс
анализируемый : 22 : анализируемых
текст : 17 : текстов
который : 31 : который
используюсь : 20 : используется
для : 25 : для
поиск : 17 : поиска
документ : 17 : документов
по : 12 : по
тема : 17 : темам
и : 13 : и
их : 31 : их
связь : 17 : связям
а : 13 : а
также : 14 : также
для : 25 : для
расширение : 17 : расширения
запрос : 17 : запроса
ассоциативен : 19 : ассоциативно
связанный : 18 : связанными
тема : 17 : темами
по : 12 : по
каждый : 18 : каждой
из : 12 : из
тем : 13 : тем
сеть : 17 : сети
формируюсь : 20 : формируется
набор : 17 : набор
предложение : 17 : предложений
текст : 17 : текста
цитата : 17 : цитат
относящийся : 22 : относящихся
к : 12 : к
соответствующий : 22 : соответствующей
тема : 17 : теме
который : 31 : которые
представляю : 20 : представляют
тематический : 18 : тематическое
резюме : 17 : резюме
реферат : 17 : реферат
текст : 17 : текста
кроме : 12 : кроме
того : 17 : того
выполняюсь : 20 : выполняется
ранжирование : 17 : ранжирование
этот : 31 : этих
предложение : 17 : предложений
по : 12 : по
вес : 17 : весам
от : 12 : от
0 : 28 : 0
до : 12 : до
100 : 28 : 100
который : 31 : которые
отражаю : 20 : отражают
их : 31 : их
информативность : 17 : информативность
для : 25 : для
соответствующий : 22 : соответствующей
тема : 17 : темы
и : 13 : и
позволяю : 20 : позволяют
выбрать : 21 : выбрать
в : 12 : в
резюме : 17 : резюме
лишь : 13 : лишь
наиболее : 9 : наиболее
информативный : 18 : информативные
предложение : 17 : предложения
общий : 18 : общее
резюме : 17 : резюме
текст : 17 : текста
формируюсь : 20 : формируется
из : 12 : из
наиболее : 9 : наиболее
информативный : 18 : информативных
фрагмент : 17 : фрагментов
по : 12 : по
ключевой : 18 : ключевым
тема : 17 : темам
документ : 17 : документа
ассоциативный : 18 : ассоциативных
связь : 17 : связей
позволяю : 20 : позволяет
выявить : 21 : выявить
скрытый : 18 : скрытые
зависимость : 17 : зависимости
между : 12 : между
интересующий : 22 : интересующими
аналитик : 17 : аналитика
событие : 17 : событиями
персоналия : 17 : персоналиями
организация : 17 : организациями
и : 13 : и
так : 13 : т
п : 17 : п
анализ : 17 : анализе
текст : 17 : текста
можно : 11 : можно
воспользоваться : 21 : воспользоваться
семантический : 18 : семантической
сеть : 17 : сетью
построенный : 22 : построенной
на : 12 : на
баз : 17 : базе
другой : 18 : других
текст : 17 : текстов
эталонный : 18 : эталонных
либо : 13 : либо
заданный : 18 : заданной
вручную : 9 : вручную
эксперт : 17 : экспертом
например : 13 : например
если : 13 : если
имеюсь : 20 : имеется
семантический : 18 : семантическая
сеть : 17 : сеть
представляющий : 22 : представляющая
известный : 18 : известную
модель : 17 : модель
предметный : 18 : предметной
область : 17 : области
то : 13 : то
можно : 11 : можно
использовать : 21 : использовать
для : 25 : для
фильтрация : 17 : фильтрации
информация : 17 : информации
в : 12 : в
новостной : 18 : новостном
поток : 17 : потоке
вылавливая : 25 : вылавливая
в : 12 : в
текст : 17 : тексте
упоминание : 17 : упоминания
о : 12 : об
известный : 18 : известных
объект : 17 : объектах
и : 13 : и
находя : 25 : находя
подкрепление : 17 : подкрепления
известный : 18 : известных
взаимосвязь : 17 : взаимосвязей
а : 13 : а
также : 14 : также
искать : 21 : искать
новое : 17 : новые
связь : 17 : связи
между : 12 : между
заданный : 18 : заданными
объект : 17 : объектами
с : 12 : с
семантический : 18 : семантической
сеть : 17 : сетью
может : 13 : может
помочь : 17 : помочь
аналитик : 17 : аналитику
в : 12 : в
решение : 17 : решении
следующий : 22 : следующих
задача : 17 : задач
тематический : 18 : тематического
состав : 17 : состава
целевой : 18 : целевой
коллекция : 17 : коллекции
документ : 17 : документов
например : 13 : например
новостной : 18 : новостного
поток : 17 : потока
за : 12 : за
выбранный : 22 : выбранный
интервал : 17 : интервал
временю : 20 : времени
выявление : 17 : выявление
ключевой : 18 : ключевых
тем : 13 : тем
и : 13 : и
их : 31 : их
связной : 18 : связных
скопление : 17 : скоплений
семантический : 18 : семантических
поле : 17 : полей
находящийся : 22 : находящихся
в : 12 : в
фокус : 17 : фокусе
внимание : 17 : внимания
и : 13 : и
влияющий : 22 : влияющих
на : 12 : на
развитие : 17 : развитие
ситуация : 17 : ситуации
мониторинг : 17 : мониторинг
динамик : 17 : динамики
информационный : 18 : информационного
поток : 17 : потока
в : 12 : во
временю : 20 : времени
в : 12 : в
термин : 17 : терминах
мощность : 17 : мощности
ключевой : 18 : ключевых
тем : 13 : тем
и : 13 : и
их : 31 : их
связь : 17 : связей
новый : 18 : новой
неожиданный : 18 : неожиданной
информация : 17 : информации
связанный : 18 : связанной
с : 12 : с
исследуемый : 22 : исследуемым
интерес : 17 : интерес
для : 25 : для
эксперт : 17 : эксперта
могу : 20 : могут
представлять : 21 : представлять
скрытый : 18 : скрытые
в : 12 : в
документ : 17 : документах
связь : 17 : связи
с : 12 : с
другой : 18 : другими
объект : 17 : объектами
персона : 17 : персонами
организация : 17 : организациями
событие : 17 : событиями
выявленный : 22 : выявленные
в : 12 : в
семантический : 18 : семантической
сеть : 17 : сети
а : 13 : а
также : 14 : также
ассоциативный : 18 : ассоциативные
цепочка : 17 : цепочки
связывающий : 22 : связывающие
заданный : 18 : заданные
объект : 17 : объекты
в : 12 : в
документ : 17 : документах
подкрепление : 17 : подкреплений
известный : 18 : известных
и : 13 : и
неизвестный : 18 : неизвестных
связь : 17 : связей
между : 12 : между
поиск : 17 : поиск
конкретный : 18 : конкретных
документ : 17 : документов
раскрывающий : 22 : раскрывающих
интересующий : 22 : интересующие
связь : 17 : связи
позволяю : 20 : позволяет
эксперт : 17 : эксперту
получить : 21 : получить
детальный : 18 : детальное
представление : 17 : представление
о : 12 : о
характер : 17 : характере
отношение : 17 : отношений
между : 12 : между
объект : 17 : объектами
средство : 17 : средства
визуализация : 17 : визуализации
семантический : 18 : семантических
сеть : 17 : сетей
позволяю : 20 : позволяют
графический : 18 : графическое
отображение : 17 : отображение
различный : 18 : различных
фрагмент : 17 : фрагментов
сеть : 17 : сети
на : 12 : на
плоскость : 17 : плоскости
вычисляя : 25 : вычисляя
оптимальный : 18 : оптимальное
для : 25 : для
зрительный : 18 : зрительного
восприятие : 17 : восприятия
расположение : 17 : расположение
тем : 13 : тем
и : 13 : и
связь : 17 : связей
параметр : 17 : параметры
отображение : 17 : отображения
настраиваем : 23 : настраиваемы
количество : 17 : количество
отображаемый : 22 : отображаемых
тем : 13 : тем
масштаб : 17 : масштаб
цвет : 17 : цвета
и : 13 : и
отображать : 21 : отображать
интересующий : 22 : интересующие
фрагмент : 17 : фрагменты
сеть : 17 : сети
как : 13 : как
то : 13 : то
тема : 17 : темы
связанный : 18 : связанные
с : 12 : с
запрос : 17 : запросом
на : 12 : на
естественный : 18 : естественном
язык : 17 : языке
тема : 17 : темы
связанный : 18 : связанные
с : 12 : с
выбранный : 22 : выбранной
в : 12 : в
сеть : 17 : сети
тема : 17 : темой
цепочка : 17 : цепочки
тем : 13 : тем
связывающий : 22 : связывающие
пар : 17 : пару
заданный : 18 : заданных
тем : 13 : тем
кратчайший : 18 : кратчайшими
ассоциативный : 18 : ассоциативными
путь : 17 : путями
тема : 17 : темы
и : 13 : и
связь : 17 : связи
из : 12 : из
заданный : 18 : заданных
весовой : 18 : весовых
интервал : 17 : интервалов
значимый : 18 : значимые
тема : 17 : темы
и : 13 : и
связь : 17 : связи
менять : 21 : менять
модель : 17 : модель
предметный : 18 : предметной
область : 17 : области
выделяя : 25 : выделяя
на : 12 : на
сформированный : 22 : сформированной
сеть : 17 : сети
интересующий : 22 : интересующие
понятие : 17 : понятия
и : 13 : и
связь : 17 : связи
документ : 17 : документы
по : 12 : по
тема : 17 : темам
и : 13 : и
связь : 17 : связям
выдавать : 21 : выдавать
их : 31 : их
общий : 18 : общие
и : 13 : и
тематический : 18 : тематические
реферат : 17 : рефераты
программный : 18 : программные
приложение : 17 : приложения
ориентирован : 23 : ориентированы
на : 12 : на
технология : 17 : технологию
и : 13 : и
обеспечиваю : 20 : обеспечивают
построение : 17 : построение
семантический : 18 : семантических
сеть : 17 : сетей
на : 12 : на
сервер : 17 : сервере
с : 12 : с
возможность : 17 : возможностью
многопользовательский : 18 : многопользовательской
работа : 17 : работы
эксперт : 17 : экспертов
через : 12 : через
на : 12 : на
клиентский : 18 : клиентских
рабочий : 17 : рабочих
место : 17 : местах
работа : 17 : работу
с : 12 : с
семантический : 18 : семантической
сеть : 17 : сетью
на : 12 : на
баз : 17 : базе
небольшой : 18 : небольшой
выборка : 17 : выборки
из : 12 : из
тысяча : 17 : тысячи
русскоязычный : 18 : русскоязычных
документ : 17 : документов
информационный : 18 : информационной
система : 17 : системы
по : 12 : по
материал : 17 : материалам
периодический : 18 : периодической
печать : 17 : печати
с : 12 : с
анализ : 17 : анализа
содержание : 17 : содержания
выборка : 17 : выборки
документ : 17 : документов
в : 12 : в
целое : 17 : целом
рисунок : 17 : рисунке
1 : 28 : 1
приведён : 23 : приведено
изображение : 17 : изображение
основной : 18 : основных
тем : 13 : тем
и : 13 : и
связь : 17 : связей
выявленный : 22 : выявленных
в : 12 : в
текст : 17 : тексте
выборка : 17 : выборки
на : 12 : на
изображение : 17 : изображении
сеть : 17 : сети
радиус : 17 : радиус
пропорционален : 19 : пропорционален
количество : 17 : количеству
документ : 17 : документов
по : 12 : по
тема : 17 : теме
яркость : 17 : яркость
связь : 17 : связи
отражаю : 20 : отражает
сила : 17 : силу
ассоциация : 17 : ассоциации
а : 13 : а
яркость : 17 : яркость
релевантность : 17 : релевантность
запрос : 17 : запросу
смотрю : 20 : см
следующий : 22 : следующие
пример : 17 : примеры
видно : 13 : видно
в : 12 : в
коллекция : 17 : коллекции
документ : 17 : документов
особо : 9 : особо
выделяюсь : 20 : выделяются
тру : 20 : три
тематический : 18 : тематических
скопление : 17 : скопления
именно : 14 : именно
этот : 31 : этой
тематика : 17 : тематике
посвящён : 23 : посвящено
содержание : 17 : содержание
большинство : 17 : большинства
документ : 17 : документов
1 : 28 : 1
главное : 17 : главные
тема : 17 : темы
семантический : 18 : семантической
сеть : 17 : сети
заинтересовавший : 22 : заинтересовавшую
семантический : 18 : семантическую
область : 17 : область
связанный : 18 : связанную
например : 13 : например
с : 12 : с
убийство : 17 : убийствами
соответствующий : 22 : соответствующий
фрагмент : 17 : фрагмент
сеть : 17 : сети
окружающий : 22 : окружающий
тема : 17 : тему
на : 12 : на
рисунок : 17 : рисунке
2 : 28 : 2
2 : 28 : 2
ближайший : 18 : ближайшее
семантический : 18 : семантическое
окружение : 17 : окружение
тема : 17 : темы
интересный : 18 : интересную
связь : 17 : связь
связанный : 18 : связанную
с : 12 : с
военный : 17 : военными
убийство : 17 : убийствами
для : 25 : для
чего : 9 : чего
получил : 20 : получим
